iter	Passed	Remaining
625	1772	1058
626	1775	1055
627	1777	1053
628	1780	1050
629	1783	1047
630	1786	1044
631	1789	1041
632	1792	1039
633	1795	1036
634	1798	1033
635	1801	1030
636	1803	1027
637	1806	1025
638	1809	1022
639	1812	1019
640	1814	1016
641	1817	1013
642	1820	1010
643	1823	1007
644	1825	1004
645	1828	1001
646	1831	999
647	1834	996
648	1836	993
649	1839	990
650	1842	987
651	1844	984
652	1847	981
653	1850	978
654	1852	975
655	1855	972
656	1857	969
657	1860	967
658	1863	964
659	1866	961
660	1868	958
661	1873	956
662	1876	953
663	1879	951
664	1883	948
665	1886	946
666	1889	943
667	1892	940
668	1895	937
669	1898	935
670	1901	932
671	1904	929
672	1906	926
673	1909	923
674	1912	920
675	1915	917
676	1917	914
677	1920	912
678	1923	909
679	1925	906
680	1928	903
681	1930	900
682	1933	897
683	1935	894
684	1938	891
685	1940	888
686	1943	885
687	1946	882
688	1949	880
689	1952	877
690	1955	874
691	1958	871
692	1960	868
693	1963	865
694	1965	862
695	1968	859
696	1970	856
697	1973	853
698	1976	851
699	1978	848
700	1981	845
701	1984	842
702	1986	839
703	1989	836
704	1992	833
705	1995	830
706	1997	827
707	2000	824
708	2002	822
709	2005	819
710	2008	816
711	2010	813
712	2013	810
713	2015	807
714	2018	804
715	2020	801
716	2035	803
717	2038	800
718	2041	797
719	2044	794
720	2047	792
721	2049	789
722	2052	786
723	2055	783
724	2058	780
725	2060	777
726	2063	775
727	2066	772
728	2069	769
729	2072	766
730	2075	763
731	2078	760
732	2081	758
733	2084	755
734	2087	752
735	2090	749
736	2092	746
737	2096	744
738	2098	741
739	2101	738
740	2104	735
741	2107	732
742	2110	729
743	2112	726
744	2115	724
745	2118	721
746	2121	718
747	2123	715
748	2126	712
749	2129	709
750	2132	706
751	2134	704
752	2137	701
753	2140	698
754	2143	695
755	2146	692
756	2149	689
757	2152	687
758	2154	684
759	2157	681
760	2160	678
761	2163	675
762	2166	672
763	2169	670
764	2172	667
765	2175	664
766	2178	661
767	2181	659
768	2184	656
769	2187	653
770	2190	650
771	2204	651
772	2207	648
773	2209	645
774	2212	642
775	2215	639
776	2218	636
777	2220	633
778	2223	630
779	2226	627
780	2228	624
781	2231	622
782	2234	619
783	2237	616
784	2240	613
785	2242	610
786	2245	607
787	2248	604
788	2251	602
789	2254	599
790	2257	596
791	2260	593
792	2262	590
793	2265	587
794	2268	585
795	2271	582
796	2274	579
797	2277	576
798	2280	573
799	2283	570
800	2286	568
801	2289	565
802	2292	562
803	2295	559
804	2298	556
805	2301	554
806	2304	551
807	2307	548
808	2310	545
809	2313	542
810	2316	539
811	2319	536
812	2321	534
813	2324	531
814	2327	528
815	2330	525
816	2333	522
817	2336	519
818	2339	516
819	2342	514
820	2344	511
821	2347	508
822	2350	505
823	2352	502
824	2355	499
825	2358	496
826	2361	493
827	2363	491
828	2366	488
829	2369	485
830	2372	482
831	2375	479
832	2378	476
833	2381	473
834	2384	471
835	2387	468
836	2389	465
837	2392	462
838	2395	459
839	2398	456
840	2401	453
841	2403	451
842	2406	448
843	2408	445
844	2411	442
845	2413	439
846	2416	436
847	2419	433
848	2421	430
849	2424	427
850	2426	424
851	2429	421
852	2431	419
853	2434	416
854	2436	413
855	2439	410
856	2442	407
857	2445	404
858	2448	401
859	2450	398
860	2453	396
861	2456	393
862	2458	390
863	2461	387
864	2464	384
865	2467	381
866	2469	378
867	2472	376
868	2475	373
869	2478	370
870	2481	367
871	2484	364
872	2487	361
873	2489	358
874	2492	356
875	2495	353
876	2498	350
877	2500	347
878	2503	344
879	2506	341
880	2508	338
881	2511	335
882	2513	333
883	2516	330
